strand_num,strand_set_id,strand_set_num,strand_set,pilfile_path
s0,0023,11,"['a', 'a', 'a*', 'b*']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s3,2000,128,"['a*', 'a', 'a', 'a']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s4,2203,163,"['a*', 'a*', 'a', 'b*']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s1,0213,39,"['a', 'a*', 'b', 'b*']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s2,0331,61,"['a', 'b*', 'b*', 'b']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s5,3031,205,"['b*', 'a', 'b*', 'b']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
s6,3110,212,"['b*', 'b', 'b', 'a']",untrusted_strands_set1693478650536-1/peppercorn_output.pil
